,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,Class
V1,1,-0.895154239,0.920674529,-0.658159619,0.957310017,0.306833688,0.949168305,0.038090123,0.845038038,0.883987576,-0.451897965,0.652639237,-0.18286854,0.284250962,0.253882663,0.699053494,0.727812957,0.777698971,-0.441453939,-0.335000095,0.482338669,-0.597935736,-0.242182463,-0.410234465,0.231418931,0.175237949,0.535468546,0.7645592,0.051530632,0.218203803,
V2,-0.895154239,1,-0.942436349,0.783684206,-0.88038722,-0.293359856,-0.933664558,-0.144928498,-0.90979392,-0.883746722,0.576847353,-0.707898995,0.114138358,-0.423220851,-0.445914382,-0.652048176,-0.643139963,-0.689140349,0.336870212,0.415495648,-0.564769099,0.580764109,0.232323621,0.24687905,-0.23705595,-0.03850809,-0.484048801,-0.615168338,-0.341505274,-0.158040005,
V3,0.920674529,-0.942436349,1,-0.812708524,0.909248532,0.466955728,0.93487673,-0.018966274,0.865431764,0.920445908,-0.686210094,0.803343118,-0.219539268,0.533342007,0.344608784,0.740591327,0.711205351,0.74164543,-0.437511203,-0.292178394,0.426197794,-0.540107148,-0.182478497,-0.238541933,0.231249356,0.006464803,0.428543295,0.730224426,0.252378557,0.177146409,
V4,-0.658159619,0.783684206,-0.812708524,1,-0.629013178,-0.355086542,-0.747480735,-0.072468284,-0.809132947,-0.729940519,0.775585338,-0.819386477,0.333214195,-0.699668185,-0.327309167,-0.625393903,-0.557173809,-0.548386596,0.352241844,0.364327261,-0.383363168,0.542054155,0.313881084,-0.087142143,-0.339475963,0.251512284,-0.203941655,-0.579296938,-0.37725418,-0.26097865,
V5,0.957310017,-0.88038722,0.909248532,-0.629013178,1,0.35112715,0.949136631,-0.097839195,0.838416469,0.925154153,-0.513422718,0.727882527,-0.250474433,0.341975879,0.26859459,0.818967998,0.851218526,0.888561286,-0.586316449,-0.234304802,0.334223803,-0.544102138,-0.137311865,-0.507588425,0.300490025,0.156110539,0.519664046,0.692927026,0.052851916,0.204203285,
V6,0.306833688,-0.293359856,0.466955728,-0.355086542,0.35112715,1,0.244732319,-0.689604079,0.169463623,0.39667315,-0.621068949,0.608409504,-0.285885096,0.692933004,-0.159648698,0.51318724,0.397099448,0.343805738,-0.390362007,0.38350208,-0.460446453,0.158624796,0.519480735,-0.24273624,-0.187969128,-0.047873453,-0.021112329,0.178889244,0.214747518,0.216454371,
V7,0.949168305,-0.933664558,0.93487673,-0.747480735,0.949136631,0.244732319,1,0.146585912,0.911737111,0.953349315,-0.549734889,0.74445531,-0.235852621,0.362842713,0.3581654,0.77344245,0.781765998,0.822599848,-0.511078964,-0.416731144,0.544830924,-0.714333075,-0.27918287,-0.36964065,0.395897603,0.133806216,0.55543625,0.732571258,0.207478255,0.173325544,
V8,0.038090123,-0.144928498,-0.018966274,-0.072468284,-0.097839195,-0.689604079,0.146585912,1,0.206214514,0.026131044,0.308655518,-0.25119588,0.358204435,-0.403623136,0.335467069,-0.340546276,-0.323755458,-0.250681354,0.41824002,-0.602541222,0.861268271,-0.557942482,-0.579169469,0.172919924,0.263872149,0.094127134,0.426295506,0.124650889,0.092916634,-0.199221309,
V9,0.845038038,-0.90979392,0.865431764,-0.809132947,0.838416469,0.169463623,0.911737111,0.206214514,1,0.876460621,-0.529262249,0.674716215,-0.260965234,0.37902052,0.353580605,0.653195532,0.670053636,0.7125572,-0.409613797,-0.425678271,0.564376987,-0.634552859,-0.303861256,-0.219041916,0.330007118,-0.080462648,0.478876631,0.678489713,0.247655292,0.20873652,
V10,0.883987576,-0.883746722,0.920445908,-0.729940519,0.925154153,0.39667315,0.953349315,0.026131044,0.876460621,1,-0.635980229,0.832107661,-0.274769268,0.499816043,0.316203009,0.843144872,0.810176522,0.840442805,-0.56809793,-0.276485928,0.393636577,-0.644737002,-0.130442084,-0.394998223,0.360007235,0.15450177,0.531179166,0.703399096,0.197213132,0.212438433,
