,ID,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
ID,1.0,0.11290962029030524,0.0008454772465848094,-0.41491623802472594,-0.10022674611995228,0.1711019422190975,-0.06173132652800506,0.08159485011139109,-0.034200753889177225,-0.0024273676944152013,0.024556401903154258,-0.2386160341977078,0.12350614849503236,-0.053894328954481194,-0.09732392325503704,-0.1758655803756816,0.010876912060926046,-0.07704797470618308,0.0898195814332846,0.02860734800366545,-0.04777179825309469,0.042038540464988935,0.13403331093391016,0.05021938830954029,-0.013914959208462615,-0.22593901845298908,-0.03947412958330129,-0.0036491566961127913,-0.007564943465845905,-0.01764440921208871,0.9933876564491938
V1,0.11290962029030524,1.0,0.015506954840700877,-0.01555864216585759,0.005333536987878771,-0.009901753553050664,-0.00017692076226304067,-0.021838790636052853,0.003625640547049705,-0.009598766166571727,-0.01927825176042836,0.0035780988256380866,-0.011239876793932587,0.003361559217142723,-0.010309550845639831,-0.0029443304893820074,-0.014766366806911315,-0.023218162531961784,-0.007048222008542338,-0.00030308717902809596,0.016056785162535406,0.0008292734688378136,-0.0010974957270894839,0.017551221550974945,-0.0012889317887911373,0.0023285779700879094,-0.00201284094348979,0.004085303689133167,-0.04445880852290903,-0.23174390017439658,0.11851851937712027
V2,0.0008454772465848094,0.015506954840700877,1.0,0.015350218759566133,-0.004631901597507594,0.005220372193044042,0.004118759925933719,0.020024778251633214,0.002627856020440033,0.001864806715789918,0.01101266441292471,-0.006296854472787179,0.013002467238982907,0.0013951006990931471,0.018952451163640298,-0.003989472486903337,0.005743226157055705,0.021561220423171813,0.011933997847213067,-0.007468593873046271,0.022579255662194132,0.010194063114582808,0.0032686164228239952,0.01592271428926719,-0.004967430506938415,-0.003145000982015439,0.0007962732008401782,0.0052653968379732215,-0.05613695304429567,-0.5307373283987125,-0.008336080438080604
V3,-0.41491623802472594,-0.01555864216585759,0.015350218759566133,1.0,0.014561613777793582,-0.021869339443884687,-0.00039235525744918534,-0.023424257675395653,0.002835939851946717,-0.01738626753433808,-0.02812478448011511,0.01476732347743209,-0.03119401944814455,-0.00019778201177879525,-0.02799503864531443,-0.0007566335608730384,-0.025457000608989415,-0.04329856264196208,-0.014517959473985598,-0.0004497794375726324,0.007484445866290682,-0.0013190636837176312,0.0046156512562612745,0.001575405451635553,0.0032542192139568124,3.089099021082533e-05,0.0006713705500695297,0.003680206590278747,-0.02292510365334125,-0.2071851721659991,-0.4297866482472323
V4,-0.10022674611995228,0.005333536987878771,-0.004631901597507594,0.014561613777793582,1.0,0.009885688405075343,0.0011914690752799766,0.0112694102927147,0.0002708445447802555,0.008992832794631053,0.015209160055030613,-0.011847340808101134,0.019518254764013313,0.0008225438193356854,0.01707653218669115,0.004898888128237607,0.016184933061246815,0.029482779011840897,0.008505666001215792,0.00045906167895255653,-0.013619285962347086,-8.395144156242804e-06,-0.0027321663584629376,-0.00486611425902405,0.0017408507719798645,0.0018379824587651016,0.0028319765036425005,-0.007130634884394314,0.02582831994864573,0.09191261927620124,-0.10301743865622146
V5,0.1711019422190975,-0.009901753553050664,0.005220372193044042,-0.021869339443884687,0.009885688405075343,1.0,-0.0007007840167025525,-0.012571487104647788,-0.0007295035688846094,-0.006367107513754114,-0.015695118830035933,0.012429844213685638,-0.016961594386632278,0.00015933807398062146,-0.013393218744323957,0.004254275559194627,-0.010199401056510711,-0.032847987130088886,-0.012700031134960368,0.0036121739218528542,-0.013623867964254495,-0.01355946074056491,0.004032766373473068,-0.009856312920811296,0.004302300811156257,-0.0016105986033855377,-0.0006640577181240188,0.020649110474684783,-0.0044840896923489925,-0.3827470659254894,0.17503843463847807
V6,-0.06173132652800506,-0.00017692076226304067,0.004118759925933719,-0.00039235525744918534,0.0011914690752799766,-0.0007007840167025525,1.0,-0.010017325298224548,0.008152524100879991,-0.004148964134426436,-0.008791825385879682,0.002667117781836014,-0.008044688777118518,1.588256346111216e-05,-0.007085994266755319,0.0031663323461540265,-0.007531366503130259,-0.007004363482880916,-0.00015099880415535565,0.0006056929335065418,0.01411734829234007,0.006419133681941049,-0.004982188905039338,0.004989799863209547,-0.001185280690868202,-0.00046952989536476323,-0.003615184279529045,-0.011485912746827222,4.6030104615440644e-05,0.21038122045218996,-0.06197735877466443
V7,0.08159485011139109,-0.021838790636052853,0.020024778251633214,-0.023424257675395653,0.0112694102927147,-0.012571487104647788,-0.010017325298224548,1.0,0.0008129359398683791,-0.009075113705029458,-0.03316951546014765,0.017100373982567387,-0.027035003064042207,-0.0023280933353291076,-0.026327553454733546,-0.005088231295713985,-0.03018750388744733,-0.04967969439817957,-0.022684035307019894,0.004157558034608192,0.02737344220783933,0.00872141050405986,-0.00012328645381055975,0.0110339245885849,-0.0010836568522076928,0.00041988035164512906,0.004650837110904736,-0.03395186441487945,0.006748693363253778,0.3912394217704034,0.0846462781382402
V8,-0.034200753889177225,0.003625640547049705,0.002627856020440033,0.002835939851946717,0.0002708445447802555,-0.0007295035688846094,0.008152524100879991,0.0008129359398683791,1.0,-0.0030521441415811558,-0.0013257355077122253,-0.004210291496713114,0.00867982292175523,0.000215767785138605,0.010782520010231523,-0.001075567343617923,0.006039041760518638,0.008411134037379541,0.0015264515776215817,-0.0038373519306645846,-0.004895952854371604,0.0016722707437854605,0.0005076651605393294,0.013884910101125261,9.401992776988347e-05,-0.0032306540853151216,0.003217372540311105,-0.006134082428065679,-0.014921821441472829,-0.10277675096023332,-0.03635006395831292
V9,-0.0024273676944152013,-0.009598766166571727,0.001864806715789918,-0.01738626753433808,0.008992832794631053,-0.006367107513754114,-0.004148964134426436,-0.009075113705029458,-0.0030521441415811558,1.0,-0.009130325728299565,0.009347468685524737,-0.017162761458300455,-0.002461691488918074,-0.016007815841793997,-0.0026985993638377424,-0.01778293955868463,-0.029086773878828142,-0.013444216354991857,0.0022189907398485536,-0.0005834094842087863,-0.007212133698033721,-0.0027247354566533734,-0.00871478913643381,0.002114237435269633,-0.0014492205934297261,0.0013479030587221841,-0.0017330478187806155,0.008453710197506278,-0.04150303340129929,-0.007580182030634335
